"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"RST1";"SW_SPST_B3U-1000P-B";1;"SW_Push";;;
2;"ICSP1";"PinHeader_2x03_P2.54mm_Vertical";1;"AVR-ISP-6";;;
3;"L1";"LED_0805_2012Metric";1;"L_AMBER";;;
4;"RX1";"LED_0805_2012Metric";1;"RX";;;
5;"J7";"AMPHENOL_10033526-N3212LF";1;"10033526-N3212LF";;;
6;"TX1";"LED_0805_2012Metric";1;"TX";;;
7;"Y1";"Crystal_HC49-4H_Vertical";1;"Crystal";;;
8;"U1";"QFP80P900X900X120-32N";1;"ATMEGA168-20AU";;;
9;"REG1";"SOT-223-3_TabPin2";1;"L7805";;;
10;"C9,C3,C7,C4,C1";"CP_EIA-2012-12_Kemet-R";5;"0.1uF";;;
11;"C2,C10,C8";"CP_EIA-2012-12_Kemet-R";3;"4.7uF";;;
12;"VREG1";"LED_0805_2012Metric";1;"BLUE";;;
13;"RP1D1,RP1C1,RP1B1,RP1A1";"R_0805_2012Metric";4;"1K";;;
14;"C5,C6";"CP_EIA-2012-12_Kemet-R";2;"15pF";;;
15;"RP2C1,RP2A1,RP2B1,RP2D1";"R_0805_2012Metric";4;"680";;;
16;"D1";"D_SOD-123";1;"MBR0520LT";;;
17;"USB1";"SSOP-28_5.3x10.2mm_P0.65mm";1;"FT232RL";;;
18;"JP1";"SolderJumper-2_P1.3mm_Open_Pad1.0x1.5mm";1;"2XJP";;;
19;"J2,J4";"PinHeader_1x15_P2.54mm_Vertical";2;"Conn_01x15";;;
